name,rating,review,duration
Starsephiroth, 1 star ,"They try to indoctrinate your children while enjoying themselves on the boardwalk in order to replace their curiosity, empathy and critical thought with complacency, fear, hatred and mindless servitude during formative years, making it impossible to change it.

They should refocus their efforts away from this towards helping those that do need solid change in their lives (because some people later in life can make use of it) rather than scaring kids with eternal damnation for just being kids.

Evangelical’s use guilt and fear to control children, if you want to use it on an adult and their ok with that, that’s on the adult. But don’t proselytize to other people’s children.",5 months ago
Nick Hathaway, 5 stars ,"Wow! What a legacy of proclaiming forgiveness for sinners and freedom for captives. They have the best offer on the entire boardwalk: eternal joy-filled life for the bow of a knee. Stop by around 8:30p.m. for free shows: gospel skits, songs, and stories.",a year ago
David Petriel (Destroyer83), 5 stars ,"Stayed here for a weekend, on staff. Loved the fellowship, loved the people, loved the messages, loved the prayer, loved the evangelism, the classes, the whole lot of it! Would definitely encourage one who seeks to learn or refine their evangelism, or just seeks to do good for the Kingdom for a week to volunteer.",a year ago
Art Salvagno, 5 stars ,Not a cult but very nice people who care for all and have a strong belief in our savior Jesus Christ.  Take in some free music on a weekday and Saturday night while walking the Wildwood Boardwalk. Rich & I love the atmosphere and sharing the Gospel through music and were humbled and honored to play this venue for the 4th time.,2 years ago
Cheryl Meneely, 5 stars ,BEAUTIFUL and BLESSED.  THANK you and God Bless,3 months ago
J L, 3 stars ,Not bad. I went in to pray that my wife leaves me for that mechanic she's seeing on the side. So far my prayers are unanswered. Perhaps one day I'll find the salvation I so desperately seek. I would visit again the next time I visit the beautiful Wildwoods.,3 years ago
Lillian Ubarry Nunez, 5 stars ,"Hi Jefferson, very sorry to hear of the struggle you are going through. Please feel free to email us at boardwalkchapel@gmail.com. Our staff will be praying for you. Please remember that the Lord can hear your prayers wherever you are, and that Jesus freely gives salvation to all who look to Him in repentance and faith.",2 years ago
Minimallyfunctioning Eggdad, 1 star ,"I visit the chapel every year I go to Wildwood been doing it for over 40 years.
Great place to hear the word of God good service good worship amazing young people. God bless!!!",2 years ago
Barbara Dega, 5 stars ,"I appreciate and respect their faith.
I have agoraphobia and meeting one of their staff members was awful, their arguments were very hypocritical and sexist.",3 years ago
Meghan Johnsson, 1 star ,Outstanding ministry right on the boardwalk. Great leaders and volunteer students share the gospel through music and relevant messages.,2 years ago
Megan Slack, 5 stars ,"The people at Boardwalk Chapel were not wearing masks which was ironic considering their preaching words, “love your neighbor.” Their arguments when presented with facts were extremely weak and I left feeling angry that there are businesses like this that exist.",5 years ago
Todd Scottson, 5 stars ,"No they don't do weddings here. 😁 Live music, programs and church services are held here right on the boardwalk. Run by the Orthodox Presbyterian Church. Review is biased, this place has been a part of our lives for a long time.",3 years ago
Tina, 4 stars ,"Excellent, well organized, great worship and a Gospel message.",2 years ago
Beth Myers, 4 stars ,Sharing the word of God. They generally care for your soul. Very kind people.,3 years ago
michael polach, 5 stars ,Used to help out there in the mid 70's. Glad to see it is still ministering to vacationers.,3 years ago
David Mapes, 5 stars ,"Wonderful Gospel message through music, skits and the Word of God.",4 months ago
Josephine Gillet, 5 stars ,Great news.,a year ago
Robert Arcure, 5 stars ,I come here every summer and love it,3 years ago
Lori Oister, 4 stars ,Best place on the boardwalk. Great gospel fellowship,a year ago
Nick Triv, 5 stars ,Nice venue for a church service,5 months ago
Kim K, 5 stars ,Awesome place,4 years ago
Maggie Groover, 5 stars ,So good to have on the boardwalk!  Shining the light of Christ!!!,2 years ago
Ralph Caldwell, 5 stars ,Gospel-centered teaching abounds here!,3 years ago
landon smythe, 5 stars ,Relaxing peaceful evening services music good,3 years ago
Simon Yovino, 5 stars ,Man it was fun conjuring up devil spirits,5 years ago
Stacey Perry-Graves, 5 stars ,"I'm sorry, what does this mean?",3 years ago
Mike Parillo, 5 stars ,Wonderful place. It is a light on the boardwalk,3 years ago
Iain Wright, 5 stars ,Best and most important part of WILDWOOD,3 years ago
J f, 5 stars ,Love playing at the chapel.,3 years ago
fear & loathing, 2 stars ,Fantastic. Great time.,5 years ago
Sarah, 5 stars ,Very fun experience,4 years ago
Alberto Alicea, 5 stars ,prayers up every night,3 years ago
Thomas Pfeil, 5 stars ,One of a kind!,a year ago
Rodríguez Hernández Recinos, 5 stars ,Good place,2 years ago
Jeffrey Price, 5 stars ,Life changing,3 years ago
John Barrett, 4 stars ,"(Translated by Google) Spectacular

(Original)
Espectacular",2 years ago
