name,rating,review,duration
Barbara, 5 stars ,"For the last 40 years I’ve felt like White Memorial was home.,",a month ago
Timothy Shelley, 5 stars ,"We do not go to church here but my children go to the weekday school.  Above all we love the feeling of community this school has.  The Director is an absolute Saint all familiar with her will agree with me.  The teaching staff is top notch, we have fell in love with our kids teachers each year.  The Christmas and Valentines dances for the families are wonderful.  All ages are on floor dancing and smiling.  The feeling of love is all around you when you are there, even if your there for just 5 minutes dropping off your child.  This church even though I am not a religious person has left a life lasting impression on me.  I am a better person for knowing people that work and go to church there.",3 years ago
Jake Lasky, 4 stars ,"I go here to donate blood and the people are always incredibly nice and welcoming. The wait to donate is always very long, regardless of if we sign up before hand, but the snacks they give are great and the wait doesn't feel terrible!",3 years ago
Jordan monarch, 5 stars ,Went exploring in this church very cool.,3 years ago
Rebecca787, 5 stars ,"I love my church family.  I always feel loved and welcomed when we all come together to worship
our Lord, Jesus Christ.",2 years ago
Honey Music, 5 stars ,This is the place to feel like you are listened to and heard... family's love the way we treat the kids here,5 years ago
Carlton Clanton, 5 stars ,Very nice church with great people,3 years ago
Marek Kucharski, 5 stars ,A great fellowship with great friends. Appreciate it.,4 years ago
Jude P, 5 stars ,Very holy,3 years ago
Oscar Hernandez, 5 stars ,Great Wedding ceremony,3 years ago
SupremeKai, 1 star ,No gifts of the spirit,4 years ago
Rod Rice, 4 stars ,Nice people...,5 years ago
