name,rating,review,duration
Adriana Perez, 3 stars ,"The church is nice but it looks more interesting from the outside than it actually is.  The structure is beautiful but it isn't an impressive church by any means.  It is nice to admire some of the relics and religious artifacts inside (especially the organ), however, it lacks detail.  It was just ok. Free admission, $5 suggested donation",6 months ago
F Ainsa, 5 stars ,Beautiful church and friendly congregation giving tours and explaining the history of their building. Gorgeous and full of symbolism.,7 months ago
Brooke Tiano, 5 stars ,"This church is historical, breath-taking and the people that serve her are a joy to be around. We had the honor of getting married here and it was a dream come true. Rev. Joe Albright and Robbie Boggs are amazing people. The whole wedding process went so smooth and we will hold this church in our hearts forever. We truly felt connected to god here and feel so blessed that we were able to marry in this treasure of a church. If you have a chance to attend a service or tour here, please do not miss out on visiting.
Warmest Thanks and God Bless from the Rasumoff's
10.8.22",a month ago
Melania Atzori, 5 stars ,One of Flaglers most beautiful churches. The architecture is stunning. A must see when visiting historic downtown Saint Augustine,9 months ago
David, 5 stars ,"A beautiful church built by Henry Flagler in honor of his daughter, it's definitely worth a visit. The guides are knowledgeable and while the self-guided tour is free, I recommend donating a few dollars to help pay for renovations. Flagler, his wife and daughter and also buried here.",3 years ago
James, 5 stars ,Beautiful!  The history is awesome.  There was a very helpful lady inside to answer questions.  The grounds are beautiful as well.,2 months ago
William King, 5 stars ,"Historic church in downtown St. Augustine.  Built by Henry Flagler to honor his daughter. He, his wife, and daughter are buried there.",4 years ago
Jay Montgomery, 5 stars ,"This building is gorgeous and so rich in history. The two Docents we're incredible, knowledgeable, and just good people.",4 years ago
Amaranth Sander, 5 stars ,Absolutely beautiful architecture as well as stained glass. Lots of good historical information about the Flagler family on the self guided tour.,7 months ago
Greg Thompson, 5 stars ,Beautiful church.  Lots of history.,a year ago
Timothy Fuller, 5 stars ,Beautiful church. Was built in under 400 days.,5 years ago
Tonya Anderton, 5 stars ,The Sew and Sow ladies are making Big things happen by Putting Prayers to Action. If you are looking for a new place to fellowship and give back here it is!,2 years ago
Emily Walczak, 5 stars ,"I have been going to this church since I was born. Every single person there loves you from the inside out. They have beautiful hymnals, and sometimes the Children's Choir does performances. If you want to go to an amazing church this is the place to go.❤️ There is also a garden that winds round the church, giving you a scenic walk. If you are planning a visit to St. Augustine, try to squeeze in a visit. It will definitely be worth it.",11 months ago
Edward Cotton, 4 stars ,If u love old European style buildings this is the place.,4 years ago
Fanda Thomas, 5 stars ,Beautiful church!  A must see on the trolley tour stop or if your on your own.,2 years ago
Rving Mojo's, 4 stars ,Only got to see it at night. Beautifully lite church and grounds.,2 years ago
