name,rating,review,duration
Gene Ownbey, 5 stars ,"My wife and I had a wonderful Christ-focused worship service while on vacation.  The people were warm, welcoming, and friendly.  The service was well thought out from the worship songs to the prayer time and Scripture reading. The sermon was Scripture driven and faithful to the text.  I would highly recommend this family of faith.",2 weeks ago
Jack Sabo, 5 stars ,Thank you for coming to worship with us and we really appreciate your gracious comments. Very encouraging!  We hope to seen you again and pray for your safe travels.,a year ago
Jonah Cleveland, 5 stars ,"A wonderful place with solid Bible teaching.  There is a consistent love for the Word and each other. We have children in youth group and they love the leaders, are taught Biblical truths and enjoy the fellowship.",4 years ago
Steve Weech, 5 stars ,Great fellowship with strong biblical preaching. Very blessed to have my family at this church. It truly is a blessing that this church has grown stronger through such a powerful storm and Covenant continues to minister during this time. I am very hopeful for what God is doing in this time for our church.,a year ago
Leigh Hinkle, 5 stars ,Looks like your wife beat you to the punch with an awesome review!,a year ago
Susan Clark, 1 star ,"Covenant Presbyterian Church in Panama City, Florida is a wonderful Church where the Word of God is preached and taught with clarity and power in the Reformed tradition. Wonderful people and a broad age demographic. A very warm and welcoming Church with Christ at the center!",2 years ago
Zeke Zechman, 5 stars ,"Solid reformed Biblical preaching and teaching with friendly, loving people. Truly enjoy worshipping here.   Deb",a year ago
Tirique Henry, 5 stars ,"We just passed your church with a large crowd and not one person had on a mask.
We were looking for a church, but I can assure you my family will not be joining a church that has such little regulars for the welfare of other in this time.",2 years ago
Dylan Gouletas, 5 stars ,"We share your concern about COVID safety.  This is why we have posted the CDC precautions, make face masks and sanitizer available, have widened our seating, temporarily canceled Sunday School and eating functions, temporary closed our nursery, and made a live TV feed available in our fellowship hall if needed for parents with small children.  The event you saw with people outside was an event from a community group who requested to use our facility.  We recommended to them to follow the CDC guidelines as precautions. May the Lord bless you in finding a church that will encourage you and your family in your walk with God.",4 years ago
Tyrique Henry, 5 stars ,My family and I have been attending for 10 years. This place and these people are family to me. So thankful to the Lord that He led me here.,2 years ago
emily delmar, 5 stars ,"""This church is an amazing place to worship, and they welcome you with open hands. I'm really happy to be attending this church"".😃😁",a year ago
Valerie Cleveland, 5 stars ,Very welcoming people and solid biblical preaching. Love this church!,4 years ago
bryan walker, 5 stars ,We love you too!!,4 years ago
Kerstin Vaughn, 5 stars ,"“A very great church, with very great people.This church is like one big happy family. I love it”😄☺️",4 years ago
Caroline Goehring, 5 stars ,"Solid biblical teaching and a warm, hospitable congregation!",3 years ago
Bob Moore, 5 stars ,"A place where my family is fed solid, biblical teaching and welcomed into a joyful fellowship.",3 years ago
julie fontenot, 4 stars ,We truly enjoy fellowshipping with your family as well! :-),2 years ago
Christie McClung, 5 stars ,It's refreshing to get biblical preaching and teaching consistently here! #HisWill #KingdomFocus,2 years ago
Tonya Montin, 5 stars ,#SDG #GlorifyGodEnjoyHimForever,4 years ago
Jahmezz Thompson, 5 stars ,"Great people, nice church. Visited on easter",4 years ago
Andrew Washburn, 5 stars ,Thank you for your kind words! We look forward to worshipping again :-),2 years ago
